street_name,nearest_station_distance
SIMEI ST SINGAPORE,0.4297556523459903
TAMPINES CTRL SINGAPORE,0.9917014530036818
SIMEI RD SINGAPORE,0.9464191007497093
LOR  TOA PAYOH SINGAPORE,0.7181034828424017
KIM KEAT AVE SINGAPORE,0.593742855277401
UPP ALJUNIED LANE SINGAPORE,0.3360542298292293
TOA PAYOH EAST SINGAPORE,0.7587665920674589
TOA PAYOH CTRL SINGAPORE,0.7181034828424017
POTONG PASIR AVE SINGAPORE,0.2708487251691555
JOO SENG RD SINGAPORE,0.42795964830083705
KIM KEAT LINK SINGAPORE,0.891974753987573
MARSILING RISE SINGAPORE,0.8092332740302787
MARSILING DR SINGAPORE,0.178126146105569
WOODLANDS ST SINGAPORE,0.38535157382475616
WOODLANDS DR SINGAPORE,0.690971402271756
WOODLANDS CIRCLE SINGAPORE,0.7500938868480312
WOODLANDS CRES SINGAPORE,0.8524960096566461
WOODLANDS AVE SINGAPORE,0.45480340975372485
WOODLANDS RING RD SINGAPORE,0.8718303393036904
YISHUN RING RD SINGAPORE,1.0410028269224154
YISHUN AVE SINGAPORE,1.1423319796326559
YISHUN ST SINGAPORE,0.9382877495928285
YISHUN CTRL SINGAPORE,0.3525262662103024
JLN RUMAH TINGGI SINGAPORE,1.0116600231479786
TELOK BLANGAH WAY SINGAPORE,0.3268545851352215
TIONG BAHRU RD SINGAPORE,0.2593510240544433
TELOK BLANGAH RISE SINGAPORE,0.35971544230689656
HENDERSON CRES SINGAPORE,0.5274882807879075
BT PURMEI RD SINGAPORE,0.8750667235437805
SPOTTISWOODE PK RD,0.6797322061381502
LOMPANG RD SINGAPORE,0.9178468563387916
SELEGIE RD SINGAPORE,0.2672825142566246
KELANTAN RD SINGAPORE,0.27167982876640945
KRETA AYER RD SINGAPORE,0.26005821744745683
CLEMENTI ST SINGAPORE,1.711309553165911
SIMS PL SINGAPORE,0.922508469314775
EUNOS RD SINGAPORE,0.7048199375446796
SIMS AVE SINGAPORE,0.721124060811042
BUANGKOK CRES SINGAPORE,0.51287492285215
JURONG EAST AVE SINGAPORE,0.619794573634182
YUNG PING RD SINGAPORE,1.1209961310765546
LOR LIMAU SINGAPORE,1.1292941115467316
TOWNER RD SINGAPORE,0.4048403394659422
NTH BRIDGE RD SINGAPORE,0.3422130770036405
KG ARANG RD,0.3019530373640502
DORSET RD SINGAPORE,0.18025158137559139
PUNGGOL FIELD WALK SINGAPORE,0.08356720337330793
PUNGGOL EAST SINGAPORE,0.2422241494934149
QUEEN'S CL SINGAPORE,1.0614967997349471
CLARENCE LANE SINGAPORE,0.6572462886215165
DOVER CL EAST SINGAPORE,0.4152548822986597
ANCHORVALE RD SINGAPORE,0.149668347817262
ANCHORVALE LANE SINGAPORE,0.24796419762109756
FERNVALE LANE SINGAPORE,0.4259531523671683
LOR LEW LIAN SINGAPORE,0.6241389216980131
MARSILING LANE SINGAPORE,0.46163940742251963
MARSILING RD SINGAPORE,0.738304523475543
CHAI CHEE DR SINGAPORE,0.8475466001425527
SIN MING RD SINGAPORE,0.3871381616164265
MOH GUAN TER SINGAPORE,0.44527927740296075
BT MERAH CTRL SINGAPORE,0.6139348936688599
QUEEN'S RD SINGAPORE,0.9010916299143468
EMPRESS RD SINGAPORE,1.0434451902906547
JLN KUKOH SINGAPORE,0.673183354114918
VEERASAMY RD SINGAPORE,0.26722882947773857
WATERLOO ST SINGAPORE,0.19073265865108763
KLANG LANE SINGAPORE,0.37192532921438265
CHOA CHU KANG LOOP SINGAPORE,0.8224269572600919
C'WEALTH AVE WEST SINGAPORE,0.6313717197594297
GEYLANG EAST CTRL SINGAPORE,0.9726774237103748
GEYLANG SERAI SINGAPORE,0.5142437711071884
PIPIT RD SINGAPORE,0.49867880122953406
YUAN CHING RD SINGAPORE,0.8511509162852816
KG KAYU RD,0.0
WHAMPOA WEST SINGAPORE,0.5232716700475549
JLN MA'MOR SINGAPORE,0.8179325297578649
CAMBRIDGE RD SINGAPORE,0.5587561786066905
PUNGGOL RD SINGAPORE,0.47284157285947626
SEMBAWANG CRES SINGAPORE,0.23439727712499475
SEMBAWANG WAY SINGAPORE,0.5045462842489731
TOA PAYOH NTH SINGAPORE,0.8902788730142666
JLN DAMAI SINGAPORE,0.2918342876683194
DELTA AVE SINGAPORE,0.4080165108873071
QUEEN ST SINGAPORE,0.3040189939341615
DAKOTA CRES SINGAPORE,0.3164686313605215
BUANGKOK LINK SINGAPORE,0.7197220205872279
UPP SERANGOON RD SINGAPORE,0.9374781413984763
KING GEORGE'S AVE SINGAPORE,0.14456506648729964
LOR  GEYLANG SINGAPORE,0.6164103945759495
JELLICOE RD SINGAPORE,0.29559754161099644
TAMAN HO SWEE SINGAPORE,0.07423493611745385
EVERTON PARK SINGAPORE,0.2776544631096422
ROWELL RD SINGAPORE,0.20971117906332706
SMITH ST SINGAPORE,0.04711375436778374
YUNG HO RD SINGAPORE,1.37490167980142
KENT RD SINGAPORE,0.35862533223335924
INDUS RD SINGAPORE,0.5582176320638967
SAGO LANE SINGAPORE,0.06405264374428803
NEW MKT RD,1.1764208762691948
CHANDER RD SINGAPORE,0.26517830453269803
OLD AIRPORT RD SINGAPORE,0.3466472258167357
KIM PONG RD SINGAPORE,0.4771515809066732
BUFFALO RD SINGAPORE,0.11067590781860408
CANBERRA LINK SINGAPORE,0.5106381645701131
BAIN ST SINGAPORE,0.31602648534664063
JLN DUA SINGAPORE,0.14452119695435922
OWEN RD SINGAPORE,0.1739611043896628
TESSENSOHN RD SINGAPORE,0.32399824356050283
GHIM MOH LINK SINGAPORE,0.6163139319460501
MARSILING CRES SINGAPORE,0.3761216729145043
SILAT AVE SINGAPORE,0.9758621451688112
KIM CHENG ST SINGAPORE,0.41971411115744367
MOULMEIN RD SINGAPORE,0.6339916848268575
JLN BERSEH SINGAPORE,0.2868169639608099
FRENCH RD SINGAPORE,0.06334599072776648
BT MERAH LANE SINGAPORE,1.3054442414352234
SIMEI LANE SINGAPORE,1.0529171185517023
JOO CHIAT RD SINGAPORE,0.24759546565591556
TAO CHING RD SINGAPORE,0.771526459705558
TELOK BLANGAH ST SINGAPORE,1.1895345812621116
ZION RD SINGAPORE,0.12802188215842616
JLN KAYU SINGAPORE,0.3942114035024102
LOR A TOA PAYOH SINGAPORE,0.3212867601585221
PUNGGOL WALK SINGAPORE,0.19461814642728917
SENGKANG WEST WAY SINGAPORE,0.34073547754076317
BUANGKOK GREEN SINGAPORE,0.6652250719058324
PUNGGOL WAY SINGAPORE,0.073553135234351
TECK WHYE CRES SINGAPORE,1.0216968848222738
MONTREAL LINK SINGAPORE,1.0013097381101899
UPP SERANGOON CRES SINGAPORE,0.37166085326001713
SUMANG LINK SINGAPORE,0.34600525806578336
SENGKANG EAST AVE SINGAPORE,0.3660673797886652
ANCHORVALE CRES SINGAPORE,0.2772504751952008
YUNG KUANG RD SINGAPORE,1.0711742477858952
ANCHORVALE ST SINGAPORE,0.08961142714805542
UPP SERANGOON VIEW SINGAPORE,0.5592605593052213
BEDOK RESERVOIR CRES SINGAPORE,1.2182536568337945
DAWSON RD SINGAPORE,0.5596757679400379
FERNVALE ST SINGAPORE,0.24705057224424642
HENDERSON RD SINGAPORE,0.3733363712253546
SUMANG WALK SINGAPORE,0.21603798550266748
KEAT HONG CL SINGAPORE,0.2657888223902901
KEAT HONG LINK SINGAPORE,0.5169460708969189
ALJUNIED AVE SINGAPORE,0.8158242584037945
CANBERRA CRES SINGAPORE,1.2064855576155142
SUMANG LANE SINGAPORE,0.5310433173330827
CANBERRA ST SINGAPORE,1.4657725101745263
MARINE PARADE CTRL SINGAPORE,0.011244889753066591
CANBERRA WALK SINGAPORE,1.4503679678476251
WOODLANDS RISE SINGAPORE,0.5280041874966677
